escenario,variable,tipo,test,test_statistic,p_value,hay_drift_test
sin_drift,promedio_ingresos_datacredito,numerica,KS,0.0332,0.119,False
sin_drift,total_otros_prestamos,numerica,KS,0.0201,0.485,False
sin_drift,puntaje_datacredito,numerica,KS,0.0251,0.2319,False
sin_drift,salario_cliente,numerica,KS,0.0217,0.3864,False
sin_drift,plazo_meses,numerica,KS,0.0245,0.2473,False
sin_drift,huella_consulta,numerica,KS,0.0341,0.0351,True
sin_drift,saldo_principal,numerica,KS,0.0309,0.0827,False
sin_drift,capital_prestado,numerica,KS,0.0195,0.5218,False
sin_drift,saldo_total,numerica,KS,0.0254,0.2195,False
sin_drift,edad_cliente,numerica,KS,0.0176,0.6605,False
sin_drift,cant_creditosvigentes,numerica,KS,0.0264,0.1783,False
sin_drift,cuota_pactada,numerica,KS,0.0196,0.5168,False
sin_drift,creditos_sectorFinanciero,numerica,KS,0.0278,0.1354,False
sin_drift,tendencia_ingresos,categorica,Chi2,2.9301,0.5696,False
sin_drift,tipo_credito,categorica,Chi2,3.4583,0.6297,False
sin_drift,creditos_sectorReal,numerica,KS,0.0133,0.9168,False
sin_drift,tipo_laboral,categorica,Chi2,1.1428,0.2851,False
sin_drift,creditos_sectorCooperativo,numerica,KS,0.0065,1.0,False
sin_drift,saldo_mora,numerica,KS,0.0032,1.0,False
sin_drift,saldo_mora_codeudor,categorica,Chi2,0.7629,0.9434,False
con_drift_inducido,edad_cliente,numerica,KS,0.2394,0.0,True
con_drift_inducido,salario_cliente,numerica,KS,0.2843,0.0,True
con_drift_inducido,tipo_laboral,categorica,Chi2,225.1289,0.0,True
con_drift_inducido,promedio_ingresos_datacredito,numerica,KS,0.0332,0.119,False
con_drift_inducido,total_otros_prestamos,numerica,KS,0.0201,0.485,False
con_drift_inducido,puntaje_datacredito,numerica,KS,0.0251,0.2319,False
con_drift_inducido,huella_consulta,numerica,KS,0.0341,0.0351,True
con_drift_inducido,plazo_meses,numerica,KS,0.0245,0.2473,False
con_drift_inducido,saldo_principal,numerica,KS,0.0309,0.0827,False
con_drift_inducido,capital_prestado,numerica,KS,0.0195,0.5218,False
con_drift_inducido,saldo_total,numerica,KS,0.0254,0.2195,False
con_drift_inducido,cant_creditosvigentes,numerica,KS,0.0264,0.1783,False
con_drift_inducido,cuota_pactada,numerica,KS,0.0196,0.5168,False
con_drift_inducido,creditos_sectorFinanciero,numerica,KS,0.0278,0.1354,False
con_drift_inducido,tendencia_ingresos,categorica,Chi2,2.9301,0.5696,False
con_drift_inducido,tipo_credito,categorica,Chi2,3.4583,0.6297,False
con_drift_inducido,creditos_sectorReal,numerica,KS,0.0133,0.9168,False
con_drift_inducido,creditos_sectorCooperativo,numerica,KS,0.0065,1.0,False
con_drift_inducido,saldo_mora,numerica,KS,0.0032,1.0,False
con_drift_inducido,saldo_mora_codeudor,categorica,Chi2,0.7629,0.9434,False
