escenario,variable,tipo,psi,psi_interpretacion
sin_drift,promedio_ingresos_datacredito,numerica,0.0164,sin_drift
sin_drift,total_otros_prestamos,numerica,0.0091,sin_drift
sin_drift,puntaje_datacredito,numerica,0.0086,sin_drift
sin_drift,salario_cliente,numerica,0.0072,sin_drift
sin_drift,plazo_meses,numerica,0.0068,sin_drift
sin_drift,huella_consulta,numerica,0.0068,sin_drift
sin_drift,saldo_principal,numerica,0.0052,sin_drift
sin_drift,capital_prestado,numerica,0.0046,sin_drift
sin_drift,saldo_total,numerica,0.0046,sin_drift
sin_drift,edad_cliente,numerica,0.0045,sin_drift
sin_drift,cant_creditosvigentes,numerica,0.0042,sin_drift
sin_drift,cuota_pactada,numerica,0.0041,sin_drift
sin_drift,creditos_sectorFinanciero,numerica,0.0039,sin_drift
sin_drift,tendencia_ingresos,categorica,0.0018,sin_drift
sin_drift,tipo_credito,categorica,0.0017,sin_drift
sin_drift,creditos_sectorReal,numerica,0.0009,sin_drift
sin_drift,tipo_laboral,categorica,0.0007,sin_drift
sin_drift,creditos_sectorCooperativo,numerica,0.0002,sin_drift
sin_drift,saldo_mora,numerica,0.0,sin_drift
sin_drift,saldo_mora_codeudor,categorica,0.0,sin_drift
con_drift_inducido,edad_cliente,numerica,0.9422,drift_severo
con_drift_inducido,salario_cliente,numerica,0.4645,drift_severo
con_drift_inducido,tipo_laboral,categorica,0.129,drift_moderado
con_drift_inducido,promedio_ingresos_datacredito,numerica,0.0164,sin_drift
con_drift_inducido,total_otros_prestamos,numerica,0.0091,sin_drift
con_drift_inducido,puntaje_datacredito,numerica,0.0086,sin_drift
con_drift_inducido,huella_consulta,numerica,0.0068,sin_drift
con_drift_inducido,plazo_meses,numerica,0.0068,sin_drift
con_drift_inducido,saldo_principal,numerica,0.0052,sin_drift
con_drift_inducido,capital_prestado,numerica,0.0046,sin_drift
con_drift_inducido,saldo_total,numerica,0.0046,sin_drift
con_drift_inducido,cant_creditosvigentes,numerica,0.0042,sin_drift
con_drift_inducido,cuota_pactada,numerica,0.0041,sin_drift
con_drift_inducido,creditos_sectorFinanciero,numerica,0.0039,sin_drift
con_drift_inducido,tendencia_ingresos,categorica,0.0018,sin_drift
con_drift_inducido,tipo_credito,categorica,0.0017,sin_drift
con_drift_inducido,creditos_sectorReal,numerica,0.0009,sin_drift
con_drift_inducido,creditos_sectorCooperativo,numerica,0.0002,sin_drift
con_drift_inducido,saldo_mora,numerica,0.0,sin_drift
con_drift_inducido,saldo_mora_codeudor,categorica,0.0,sin_drift
